nina,last_name,first_name,birth_date,sex,region_code,birth_region,cercle,commune,village,father_name,mother_name,language,has_error,error_type,error_field
11706148141251S,Fall,Boubacar,2017-06-23,M,1,Kayes,Bafoulabe,Diakon,Sambela,Karamoko Kanoute,Khadidiatou Issoufou,fr,False,,
14508106112239D,Ouattara,Yousoufc,1945-08-08,M,1,Kayes,Bafoulabe,Diakon,Sambela,Seydou Salaha,Téné Issoufou,ff,True,typo_insertion,first_name
23311418080221N,Pamateck,Massitan,1933-11-08,F,4,Ségou,Macina,Kolongo,Tioribabougou,Cheick Almoustapha,Fadima Yaranangore,bm,False,,
16711930275128W,Ascofare,Lassine,1967-11-18,M,9,Bamako,District de Bamako,Commune VI,Niamakorola,Bandé Tessougue,Roukiatou Bengaly,fr,False,,
16310815149082L,Fayz,Daouda,1963-10-12,M,8,Kidal,Abeibara,Boghassa,Boghassaren,Hama Kassogue,Maïdjara Bicaba,fr,True,typo_substitution,last_name
16010647126168W,Boubku,Hama,1960-10-29,M,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Sinali Yehia,Diénéba Tapily,fr,True,typo_substitution,last_name
14906359291898Q,Napl,Bouréma,1949-06-10,M,3,Sikasso,Bougouni,Faragouaran,Bougoudji,Abdoulkader Fane,Sirantou Hamady,fr,True,typo_substitution,last_name
24405415071522Q,Gassama,Niaba,1944-05-26,F,4,Ségou,Bla,Yangasso,Wolofobougou,Fodie Dembele,Sokona Haidara,fr,False,,
20409705198391N,Samassekou,Niamato,2004-09-03,F,7,Gao,Menaka,Anderamboukane,Talataye-Kori,Niamba Abdramane,Mariam Soumare,tmq,False,,
24204342175115F,Tessougue,Fatoumé,1942-04-13,F,3,Sikasso,Bougouni,Sido,Misseniba,Mamary Saidou,Aminata Kamissoko,ff,False,,
11010820260624C,Balde,Tiécoura,2010-10-25,M,8,Kidal,Kidal,Essouk,Tinzaoukar,Hamadou Konare,Niamana Ibrahima,fr,False,,
28711108186900P,Dolo,Bassiratou,1987-11-15,F,1,Kayes,Bafoulabe,Diakon,Sambela,Alou Mbaye,Goundokè Berthe,fr,False,,
13410235065132Q,Yalcouye,Ichaka,1934-10-10,M,2,Koulikoro,Kati,Bossofala,Banzanbougou,Kalifa Kamissoko,Niamato Bocoum,fr,False,,
13407920205688A,Walet,Sido,1934-07-04,M,9,Bamako,District de Bamako,Commune IV,Bakaribougou,Ahmoud Cheickna,Mahawa Dieng,fr,True,typo_substitution,first_name
14303146031235P,Diallo,Souleymane,1943-03-15,M,1,Kayes,Nioro du Sahel,Diabigue,Ndiaganfoula,Tenema Sidibe,Sirakè Sarr,bm,False,,
16003609293591J,Yalcouye,Zana,1960-03-16,M,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Alaye Konfourou,Niama Diabate,fr,False,,
26202527240885X,Diakite,Fatma,1962-02-11,F,5,Mopti,Djenne,Femaye,Sofarana,Abdoulkader Fomba,Salimata Kanté,bm,False,,
19903313098550Y,Bocar,Boubacar,1999-03-25,M,3,Sikasso,Kadiolo,Loulouni,Sanfolola,Bokar Sow,Zeïnabou Boubou,fr,False,,
11205552282101J,Dembele,Abdourahmane,2012-05-20,M,5,Mopti,Koro,Dioungani,Bankassou,Issa Coulibaly,Niaba Sarr,ff,False,,
23401356206925A,Saanogo,Hapsatou,1934-01-23,F,3,Sikasso,Bougouni,Faragouaran,Bougoudji,Hama Traore,Bafou Kamissoko,bm,True,phonetic_spelling,last_name
10611414030594K,Boureima,Ibrahima,2006-11-01,M,4,Ségou,Segou,Sebougou,Sonfara,Manga Napo,Maimouna Dembele,bm,False,,
15707133042872E,Barry,Moussa,1957-07-06,M,1,Ségou,Macina,Kolongo,Tioribabougou,Yssouf Diallo,Fatma Sarr,ff,True,geographic_mismatch,birth_region
11811706215674Q,Tabouré,Oumarou,2018-11-24,M,7,Gao,Gao,Gounzoureye,Wabarianke,Mohamed Napo,Djènè Dia,tmq,False,,
10408326068688T,Saye,Galo,2004-08-13,M,3,Sikasso,Yorosso,Mahou,Fakoroba,Fodéba Sidibe,Mariam Hamady,ff,False,,
18707135110519P,Fousseyni,Kamissoko,1987-07-19,M,1,Kayes,Nioro du Sahel,Diabigue,Ndiaganfoula,Sékouba Diallo,Maïram Bamba,bm,True,field_inversion,"first_name,last_name"
26006752271009T,Abdramane,Astan,1960-06-14,F,7,Gao,Gao,Gounzoureye,Wabarianke,Abdoulwahab Kanoute,Kaira Kamissoko,fr,False,,
19108319108735N,Dackouo,Yoro,1991-08-03,M,3,Sikasso,Kolondieba,Fakola,Tengrebougou,Hassane Kamissoko,Dadou Sylla,bm,False,,
11008141217850G,Macalu,Oumar,2010-08-25,M,1,Kayes,Diema,Lakamane,Mansakoro,Bakary Sagara,Korké Cheick,bm,True,typo_omission,last_name
16804205077559B,Toure,Hamdoun,1968-04-23,M,2,Koulikoro,Kati,Sanankoroba,Sirakoroba,Moustapha Abdramane,Founé Wane,fr,True,typo_omission,first_name
13105816053363K,Salaha,Dembo,1931-05-03,M,8,Kidal,Tin-Essako,Intadeyni,Intadeyni,Seyba Haidara,Nènè Konare,fr,False,,
15203248171802F,Toiray,Dembele,1952-03-06,M,2,Koulikoro,Kangaba,Minidian,Tonkanibougou,Karamoko Dieng,Sadia Kaba,fr,True,typo_substitution,last_name
28712420117229U,Doumbia,Fadimata,1987-12-20,F,4,Ségou,Baroueli,Tamani,Fienso-Were,Famagan Wélé,Dénou Kassogue,fr,False,,
27610442261410D,Bakaryh,Dénou,1976-10-03,F,4,Ségou,Baroueli,Tamani,Fienso-Were,Adama Soumare,Djènè Yattara,bm,True,typo_insertion,last_name
16804558296195H,Tambohra,Oumar,1968-04-08,M,5,Mopti,Mopti,Konna,Tongorongo,Tidjane Ag,Aminata Konfe,ff,True,typo_substitution,last_name
15108958154520F,Ongoibaa,Demberel,1951-08-11,M,9,Bamako,District de Bamako,Commune VI,Niamakorola,Dembo Tapily,Djahara Tessougue,fr,True,phonetic_spelling,last_name
15910737155416G,Souleymane,Bakary,1959-10-03,M,7,Gao,Gao,Gounzoureye,Wabarianke,Sory Goita,Niamoye Wane,tmq,False,,
27604529227692V,Thiam,Maïmé,1976-04-05,F,5,Mopti,Douentza,Hombori,Yalakoura,Alaye Sako,Fadimata Samake,bm,False,,
24405153121689T,Ongoiba,Naba,1944-05-11,F,1,Kayes,Diema,Lakamane,Mansakoro,Fadiala Fadiga,Oumou Cisse,snk,False,,
14301527295200M,Maouloud,Cheickne,1943-01-27,M,5,Mopti,Douentza,Hombori,Yalakoura,Boukari Seck,Founé Diarra,fr,False,,
18202252266476D,Dembele,Mahmoud,1982-02-27,M,2,Koulikoro,Kangaba,Minidian,Tonkanibougou,Klétigui Wague,Maïdjara Dansoko,bm,False,,
24308258227628N,Ouattars,Goundoba,1943-08-12,F,2,Koulikoro,Kati,Bossofala,Banzanbougou,Ichaka Bocar,Coumba Yalcouye,bm,True,typo_substitution,last_name
27904816141451J,Tangara,Salimatou,1979-04-22,F,8,Kidal,Kidal,Essouk,Tinzaoukar,Tijani Sarr,Yacine Sagara,tmq,False,,
17704210119393W,Haidara,Bilal,1977-04-06,M,2,Koulikoro,Dioila,Massigui,Fadiabougou,Bouréma Maiga,Souadou Konfourou,bm,False,,
21208114216399J,Tabouré,Nafissa,2012-08-13,F,1,Kayes,Yelimane,Kremis,Tougandama,Sékou Soumountéra,Fanké Soumbounou,fr,False,,
26606225215552V,Issoufou,Hawaou,1966-06-14,F,2,Koulikoro,Kati,Bossofala,Banzanbougou,Sambou Kebe,Diénéba Daou,bm,False,,
23605443208742G,Nire,Niénétou,1936-05-12,F,4,Ségou,Macina,Kolongo,Tioribabougou,Fousseni Oumarou,Oumou Hamidou,fr,True,typo_omission,last_name
